generation,population_size,best_total_fitness,avg_total_fitness,best_trace_score,avg_trace_score,best_overlap_score,avg_overlap_score,best_trace_length_mm,avg_trace_length_mm,best_overlap_penalty,avg_overlap_penalty,min_overlap_penalty,feasible_count,infeasible_count,feasible_ratio,diversity_all_mm,diversity_feasible_mm,diversity_infeasible_mm,trace_weight,overlap_weight,mutation_rate,sigma_xy_mm
39,50,0.9386571964734374,0.6682303967892441,0.9575876782740677,0.591175019164925,0.9211969020329482,0.7393014659629243,678.7161772429507,1015.6814650111307,0.26636531478465997,0.8811969183206336,0.0,8,42,0.16,44.687156860130166,47.40104833380503,44.58369471842041,0.4798,0.5202,0.57668,21.724
40,50,0.9460852555762991,0.6559074358736617,1.0,0.6523192627243644,0.8967150489967416,0.65919315764639,678.7161772429507,1068.0311577502935,0.26636531478465997,0.8789191548478489,0.0,11,39,0.22,47.18117988004953,54.2058879374309,44.5010490790154,0.478,0.522,0.5748,21.64
41,50,0.9474271271472433,0.688798303471077,1.0,0.6587835231835432,0.8996317814953099,0.7160855092231266,678.7161772429507,1116.5562384630687,0.26636531478465997,0.7534752916250522,0.0,11,39,0.22,48.84353988741838,51.913808057294894,47.9538007316992,0.47619999999999996,0.5238,0.57292,21.555999999999997
42,50,0.9548447412671623,0.6677060592422681,0.9830745215860869,0.5596616074551672,0.9293648938864586,0.7652256329252982,678.7161772429507,1128.667340805957,0.26636531478465997,0.8853352338524131,0.0,13,37,0.26,47.54697281632077,52.29899347207192,45.16489790944829,0.47439999999999993,0.5256000000000001,0.57104,21.471999999999998
43,50,0.8896341081185952,0.6431515704756908,0.8738964731160012,0.5457218845393077,0.9037365091467068,0.730457731972723,678.7161772429507,1062.4475063377545,0.26636531478465997,0.7458353154912686,0.0,10,40,0.2,48.9532112031851,49.94382835582799,47.81829382428218,0.4726,0.5274,0.56916,21.387999999999998
44,50,0.9568443635563754,0.6925488852620916,0.9768017758668794,0.5759098730686522,0.9390893565348613,0.7963161697304801,678.7161772429507,1055.6670667252731,0.26636531478465997,0.8907196588283862,0.0,13,37,0.26,48.239971992521596,49.85200083650404,47.33270460430586,0.4708,0.5292,0.56728,21.304000000000002
45,50,0.9193387553297029,0.7478302767634264,0.8959021464932844,0.6427708290093014,0.9400388862982156,0.8406228963428701,682.3088342866546,988.8899555785065,0.248533875,0.6606049606614364,0.0,14,36,0.28,44.81068712175892,45.533275570704156,43.24878589057025,0.469,0.531,0.5654,21.22
46,50,0.9541432559736788,0.6332267173289181,0.9093494833855155,0.5485969815222042,0.9934218793843205,0.7074365757540245,705.536126974179,931.2995699753629,0.0180490309,0.8027347920375469,0.0,12,38,0.24,43.76029915981607,47.57548288225355,41.83098476219018,0.46719999999999995,0.5328,0.56352,21.136
47,50,0.9486692309677095,0.643047373729214,0.8970284787103697,0.5607513718319648,0.9936254713353972,0.7146907693202722,705.536126974179,969.5097492287423,0.0180490309,0.8078330793598478,0.0,8,42,0.16,44.74155678430709,46.34312658032208,44.66002157276072,0.46540000000000004,0.5346,0.56164,21.052
48,50,0.99757962495631,0.7055356553399001,1.0,0.5956923440922999,0.995487742275,0.800471074978952,705.536126974179,1015.7299063422331,0.0180490309,0.798115700084192,0.0,11,39,0.22,46.831739246173925,47.0081026053637,46.369483820233,0.4636,0.5364,0.55976,20.968
